1.394	1.141
1.24571	0.522143
1.09743	-0.0967143
0.949143	-0.715571
0.800857	-1.33443
0.652571	-1.95329
0.504286	-2.57214
0.356	-3.191
0.843429	1.269
0.694858	0.65047
0.546286	0.03194
0.397715	-0.58659
0.249143	-1.20512
0.100572	-1.82365
-0.0479996	-2.44218
-0.196571	-3.06071
0.292857	1.397
0.144	0.778796
-0.00485729	0.160591
-0.153714	-0.457613
-0.302572	-1.07582
-0.451429	-1.69402
-0.600286	-2.31223
-0.749143	-2.93043
-0.257714	1.525
-0.406856	0.907123
-0.555999	0.289246
-0.705141	-0.328631
-0.854283	-0.946509
-1.00343	-1.56439
-1.15257	-2.18226
-1.30171	-2.80014
-0.808286	1.653
-0.957715	1.03545
-1.10714	0.417897
-1.25657	-0.199654
-1.406	-0.817206
-1.55543	-1.43476
-1.70486	-2.05231
-1.85429	-2.66986
-1.35886	1.781
-1.50857	1.16378
-1.65829	0.546551
-1.808	-0.0706729
-1.95772	-0.687897
-2.10743	-1.30512
-2.25715	-1.92235
-2.40686	-2.53957
-1.90943	1.909
-2.05943	1.2921
-2.20943	0.675203
-2.35943	0.0583043
-2.50943	-0.558594
-2.65943	-1.17549
-2.80943	-1.79239
-2.95943	-2.40929
-2.46	2.037
-2.61029	1.42043
-2.76057	0.803857
-2.91086	0.187286
-3.06114	-0.429286
-3.21143	-1.04586
-3.36171	-1.66243
-3.512	-2.279
