image_number,time_stamp
114,1519279194.995402
115,1519279195.161475
116,1519279195.327527
117,1519279195.493951
118,1519279195.661271
119,1519279195.827725
120,1519279195.993317
121,1519279196.160183
122,1519279196.325546
123,1519279196.493965
124,1519279196.659439
125,1519279196.825903
126,1519279196.991537
127,1519279197.159389
128,1519279197.325555
129,1519279197.49154
130,1519279197.657434
131,1519279197.825623
132,1519279197.992583
133,1519279198.157915
134,1519279198.323344
135,1519279198.489793
136,1519279198.65757
137,1519279198.823487
138,1519279198.989315
139,1519279199.155507
140,1519279199.323407
141,1519279199.489461
142,1519279199.655435
143,1519279199.82191
144,1519279199.989457
145,1519279200.155823
146,1519279200.321878
147,1519279200.487403
148,1519279200.653685
149,1519279200.821687
150,1519279200.987453
151,1519279201.153605
152,1519279201.319557
153,1519279201.488445
154,1519279201.65345
155,1519279201.819675
156,1519279201.985793
157,1519279202.15354
158,1519279202.320973
159,1519279202.487273
160,1519279202.65156
161,1519279202.817649
162,1519279202.985821
163,1519279203.151558
164,1519279203.317444
165,1519279203.483582
166,1519279203.651506
167,1519279203.817555
168,1519279203.98354
169,1519279204.149746
170,1519279204.317797
171,1519279204.483638
172,1519279204.649342
173,1519279204.81558
174,1519279204.981584
175,1519279205.149577
176,1519279205.315584
177,1519279205.481301
178,1519279205.647613
179,1519279205.815614
180,1519279205.981513
181,1519279206.147419
182,1519279206.313653
183,1519279206.481454
184,1519279206.647616
185,1519279206.815668
186,1519279206.979956
187,1519279207.145437
188,1519279207.313586
189,1519279207.47947
190,1519279207.645475
191,1519279207.811509
192,1519279207.979571
193,1519279208.145316
194,1519279208.311696
195,1519279208.477764
196,1519279208.643447
197,1519279208.811511
198,1519279208.97758
199,1519279209.143311
200,1519279209.309602
201,1519279209.47765
202,1519279209.643608
203,1519279209.809331
204,1519279209.975674
205,1519279210.143573
206,1519279210.309523
207,1519279210.475495
208,1519279210.641787
209,1519279210.807572
210,1519279210.975548
211,1519279211.142565
212,1519279211.307481
213,1519279211.473458
214,1519279211.641615
215,1519279211.807406
216,1519279211.973358
217,1519279212.139453
218,1519279212.307461
219,1519279212.473679
220,1519279212.63963
221,1519279212.80537
222,1519279212.971603
223,1519279213.139464
224,1519279213.30568
225,1519279213.471461
226,1519279213.637516
227,1519279213.805354
228,1519279213.971507
229,1519279214.137477
230,1519279214.303714
231,1519279214.4714
232,1519279214.637381
233,1519279214.803433
234,1519279214.969702
235,1519279215.135402
236,1519279215.304599
237,1519279215.469313
238,1519279215.635554
239,1519279215.801465
240,1519279215.969558
241,1519279216.135315
242,1519279216.301459
243,1519279216.468395
244,1519279216.635417
245,1519279216.801279
246,1519279216.967535
247,1519279217.133784
248,1519279217.299537
249,1519279217.467663
250,1519279217.633682
251,1519279217.799352
252,1519279217.965633
253,1519279218.133498
254,1519279218.299632
255,1519279218.465364
256,1519279218.631545
257,1519279218.799685
258,1519279218.965463
259,1519279219.131318
260,1519279219.297706
261,1519279219.463549
262,1519279219.631445
263,1519279219.798387
264,1519279219.963475
265,1519279220.129303
266,1519279220.297627
267,1519279220.463382
268,1519279220.6296
269,1519279220.795473
270,1519279220.961847
271,1519279221.129371
272,1519279221.295545
273,1519279221.461806
274,1519279221.627522
275,1519279221.795448
276,1519279221.961866
277,1519279222.127436
278,1519279222.293381
279,1519279222.461372
280,1519279222.627555
281,1519279222.793368
282,1519279222.959608
283,1519279223.125293
284,1519279223.293501
285,1519279223.459586
286,1519279223.626163
287,1519279223.791329
288,1519279223.959519
289,1519279224.126249
290,1519279224.291547
291,1519279224.457471
292,1519279224.625608
293,1519279224.791313
294,1519279224.957431
295,1519279225.123344
296,1519279225.289469
297,1519279225.457346
298,1519279225.623452
299,1519279225.789576
300,1519279225.9554
301,1519279226.123343
302,1519279226.289627
303,1519279226.455532
304,1519279226.621512
305,1519279226.789479
306,1519279226.955446
307,1519279227.121434
308,1519279227.287696
309,1519279227.45353
310,1519279227.621517
311,1519279227.787359
312,1519279227.953616
313,1519279228.119428
314,1519279228.28745
315,1519279228.454709
316,1519279228.61943
317,1519279228.785485
318,1519279228.953568
319,1519279229.1194
320,1519279229.285362
321,1519279229.451678
322,1519279229.617476
323,1519279229.786041
324,1519279229.951679
325,1519279230.117516
326,1519279230.283535
327,1519279230.451417
328,1519279230.61762
329,1519279230.783495
330,1519279230.949544
331,1519279231.117479
332,1519279231.283898
333,1519279231.449346
334,1519279231.615696
335,1519279231.781318
336,1519279231.949576
337,1519279232.115532
338,1519279232.2817
339,1519279232.447466
340,1519279232.615486
341,1519279232.781557
342,1519279232.947841
343,1519279233.113451
344,1519279233.279607
345,1519279233.447458
346,1519279233.613579
347,1519279233.779482
348,1519279233.945658
349,1519279234.113491
350,1519279234.28085
351,1519279234.445376
352,1519279234.611613
353,1519279234.779406
354,1519279234.94566
355,1519279235.11157
356,1519279235.277434
357,1519279235.443519
358,1519279235.611952
359,1519279235.777608
360,1519279235.943365
361,1519279236.109647
362,1519279236.277372
363,1519279236.443552
364,1519279236.609531
365,1519279236.775475
366,1519279236.943433
367,1519279237.110395
368,1519279237.276157
369,1519279237.441587
370,1519279237.607426
371,1519279237.775682
372,1519279237.941342
373,1519279238.107642
374,1519279238.273803
375,1519279238.441448
376,1519279238.607384
377,1519279238.7736
378,1519279238.939594
379,1519279239.107578
380,1519279239.273863
381,1519279239.43988
382,1519279239.605469
383,1519279239.77157
384,1519279239.939739
385,1519279240.105577
386,1519279240.272175
387,1519279240.43752
388,1519279240.605574
389,1519279240.771462
390,1519279240.937478
391,1519279241.105143
392,1519279241.271442
393,1519279241.438424
394,1519279241.604576
395,1519279241.769447
396,1519279241.935497
397,1519279242.104354
398,1519279242.269438
399,1519279242.435895
400,1519279242.601608
401,1519279242.769519
402,1519279242.935469
403,1519279243.101555
404,1519279243.267467
405,1519279243.435573
406,1519279243.601796
407,1519279243.768022
408,1519279243.933542
409,1519279244.099478
410,1519279244.267522
411,1519279244.433278
412,1519279244.599655
413,1519279244.765472
414,1519279244.933578
415,1519279245.099485
416,1519279245.265631
417,1519279245.431595
418,1519279245.600211
419,1519279245.767379
420,1519279245.931814
421,1519279246.097582
422,1519279246.263557
423,1519279246.431622
424,1519279246.59751
425,1519279246.763439
426,1519279246.929653
427,1519279247.097497
428,1519279247.263548
429,1519279247.42947
430,1519279247.595584
431,1519279247.761359
432,1519279247.929699
433,1519279248.096142
434,1519279248.261505
435,1519279248.427456
436,1519279248.595445
437,1519279248.761354
438,1519279248.927499
439,1519279249.09351
440,1519279249.261595
441,1519279249.42754
442,1519279249.593727
443,1519279249.759409
444,1519279249.92561
445,1519279250.093668
446,1519279250.260324
447,1519279250.425361
448,1519279250.591643
449,1519279250.759657
450,1519279250.925695
451,1519279251.091685
452,1519279251.257649
453,1519279251.425437
454,1519279251.591526
455,1519279251.7575
456,1519279251.923926
457,1519279252.089348
458,1519279252.257556
459,1519279252.424133
460,1519279252.589502
461,1519279252.75559
462,1519279252.923772
463,1519279253.089515
464,1519279253.255485
465,1519279253.421521
466,1519279253.589358
467,1519279253.755693
468,1519279253.921514
469,1519279254.087752
470,1519279254.253427
471,1519279254.421627
472,1519279254.587447
473,1519279254.7536
474,1519279254.919344
475,1519279255.088316
476,1519279255.253579
477,1519279255.419586
478,1519279255.585515
479,1519279255.753485
480,1519279255.919467
481,1519279256.085711
482,1519279256.25157
483,1519279256.417561
484,1519279256.585488
485,1519279256.751775
486,1519279256.917467
487,1519279257.083566
488,1519279257.251855
489,1519279257.417454
490,1519279257.583441
491,1519279257.749783
492,1519279257.917332
493,1519279258.083503
494,1519279258.249614
495,1519279258.41611
496,1519279258.581785
497,1519279258.749612
498,1519279258.916102
499,1519279259.08163
500,1519279259.247443
501,1519279259.416583
502,1519279259.581358
503,1519279259.74766
504,1519279259.913595
505,1519279260.081539
506,1519279260.247365
507,1519279260.413508
508,1519279260.579626
509,1519279260.745543
510,1519279260.913537
511,1519279261.079667
512,1519279261.245471
513,1519279261.411584
514,1519279261.579569
515,1519279261.745559
516,1519279261.911487
517,1519279262.077523
518,1519279262.243696
519,1519279262.411471
520,1519279262.577483
521,1519279262.744062
522,1519279262.909572
523,1519279263.077606
524,1519279263.243589
525,1519279263.409492
526,1519279263.575508
527,1519279263.744166
528,1519279263.909362
529,1519279264.07554
530,1519279264.241558
531,1519279264.408234
532,1519279264.575511
533,1519279264.741601
534,1519279264.907465
535,1519279265.073577
536,1519279265.241467
537,1519279265.407711
538,1519279265.57364
539,1519279265.739633
540,1519279265.907614
541,1519279266.073585
542,1519279266.239447
543,1519279266.405536
544,1519279266.571491
545,1519279266.73958
546,1519279266.905616
547,1519279267.072088
548,1519279267.237522
549,1519279267.405613
550,1519279267.57155
551,1519279267.737549
552,1519279267.904295
553,1519279268.071852
554,1519279268.237671
555,1519279268.403636
556,1519279268.569471
557,1519279268.736072
558,1519279268.90338
559,1519279269.069663
560,1519279269.23551
561,1519279269.401534
562,1519279269.56955
563,1519279269.735692
564,1519279269.901435
565,1519279270.067511
566,1519279270.235715
567,1519279270.401604
568,1519279270.567563
569,1519279270.733657
570,1519279270.89958
571,1519279271.067948
572,1519279271.233522
573,1519279271.399649
574,1519279271.565328
575,1519279271.733515
576,1519279271.899677
577,1519279272.065641
578,1519279272.231718
579,1519279272.399757
580,1519279272.566081
581,1519279272.731721
582,1519279272.897604
583,1519279273.063641
584,1519279273.231665
585,1519279273.397662
586,1519279273.563686
587,1519279273.729795
588,1519279273.897512
589,1519279274.063719
590,1519279274.229534
591,1519279274.395533
592,1519279274.561435
593,1519279274.729909
594,1519279274.895512
595,1519279275.061641
596,1519279275.228276
597,1519279275.395564
598,1519279275.56137
599,1519279275.727771
600,1519279275.893565
601,1519279276.061582
602,1519279276.227811
603,1519279276.393855
604,1519279276.560414
605,1519279276.725756
606,1519279276.894071
607,1519279277.059732
608,1519279277.225785
609,1519279277.391681
610,1519279277.55957
611,1519279277.725521
612,1519279277.891571
613,1519279278.057566
614,1519279278.225642
615,1519279278.391781
616,1519279278.557825
617,1519279278.723746
618,1519279278.889561
619,1519279279.057718
620,1519279279.223892
621,1519279279.389612
622,1519279279.555585
623,1519279279.724402
624,1519279279.889511
625,1519279280.055491
626,1519279280.22318
627,1519279280.389625
628,1519279280.555603
629,1519279280.722523
630,1519279280.887615
631,1519279281.053685
632,1519279281.222613
633,1519279281.387768
634,1519279281.55337
635,1519279281.719723
636,1519279281.887687
637,1519279282.053512
638,1519279282.219656
639,1519279282.385989
640,1519279282.553525
641,1519279282.719731
642,1519279282.885828
643,1519279283.051568
644,1519279283.217555
645,1519279283.386121
646,1519279283.551489
647,1519279283.71756
648,1519279283.883523
649,1519279284.051786
650,1519279284.217573
651,1519279284.38355
652,1519279284.549684
653,1519279284.71764
654,1519279284.883644
655,1519279285.051048
656,1519279285.215967
657,1519279285.381725
658,1519279285.549912
659,1519279285.715741
660,1519279285.88144
661,1519279286.047582
662,1519279286.215682
663,1519279286.381652
664,1519279286.5474
665,1519279286.713687
666,1519279286.879439
667,1519279287.047801
668,1519279287.213564
669,1519279287.37961
670,1519279287.545594
671,1519279287.713533
672,1519279287.879617
673,1519279288.045745
674,1519279288.211444
675,1519279288.379626
676,1519279288.545509
677,1519279288.711693
678,1519279288.877762
679,1519279289.043486
680,1519279289.211664
681,1519279289.377827
682,1519279289.543591
683,1519279289.711567
684,1519279289.877503
685,1519279290.043562
686,1519279290.209736
687,1519279290.376
688,1519279290.543551
689,1519279290.709574
690,1519279290.875741
691,1519279291.041852
692,1519279291.207589
693,1519279291.375414
694,1519279291.541844
695,1519279291.707485
696,1519279291.873606
697,1519279292.043194
698,1519279292.207647
699,1519279292.373463
700,1519279292.539647
701,1519279292.707393
702,1519279292.873571
703,1519279293.039579
704,1519279293.205853
705,1519279293.371467
706,1519279293.539586
707,1519279293.705831
708,1519279293.871547
709,1519279294.037576
710,1519279294.205815
711,1519279294.371479
712,1519279294.537672
713,1519279294.703573
714,1519279294.871454
715,1519279295.037358
716,1519279295.20371
717,1519279295.369778
718,1519279295.535664
719,1519279295.703534
720,1519279295.869625
721,1519279296.035644
722,1519279296.201673
723,1519279296.369483
724,1519279296.535518
725,1519279296.701686
726,1519279296.867771
727,1519279297.035382
728,1519279297.201611
729,1519279297.367777
730,1519279297.534012
731,1519279297.699761
732,1519279297.867615
733,1519279298.033772
734,1519279298.199703
735,1519279298.365794
736,1519279298.533704
737,1519279298.700102
738,1519279298.865577
739,1519279299.031612
740,1519279299.199707
741,1519279299.365555
742,1519279299.531595
743,1519279299.697925
744,1519279299.863705
745,1519279300.031523
746,1519279300.197473
747,1519279300.36348
748,1519279300.529692
749,1519279300.697563
750,1519279300.863444
751,1519279301.029507
752,1519279301.195719
753,1519279301.362093
754,1519279301.529497
755,1519279301.695711
756,1519279301.86189
757,1519279302.027693
758,1519279302.195645
759,1519279302.36157
760,1519279302.527478
761,1519279302.693486
762,1519279302.86296
763,1519279303.027507
764,1519279303.193486
765,1519279303.359603
766,1519279303.525981
767,1519279303.69344
768,1519279303.859863
769,1519279304.025547
770,1519279304.191704
771,1519279304.359447
772,1519279304.525599
773,1519279304.691455
774,1519279304.857619
775,1519279305.025538
776,1519279305.191507
777,1519279305.357536
778,1519279305.523464
779,1519279305.689524
780,1519279305.857573
781,1519279306.023473
782,1519279306.18959
783,1519279306.355503
784,1519279306.523628
785,1519279306.68959
786,1519279306.855539
787,1519279307.021602
788,1519279307.190376
789,1519279307.35542
790,1519279307.52154
791,1519279307.687604
792,1519279307.854036
793,1519279308.021544
794,1519279308.187638
795,1519279308.353559
796,1519279308.519596
797,1519279308.687503
798,1519279308.85357
799,1519279309.019487
800,1519279309.18551
801,1519279309.353513
802,1519279309.519581
803,1519279309.685368
804,1519279309.851737
805,1519279310.017617
806,1519279310.185593
807,1519279310.351538
808,1519279310.517566
809,1519279310.683446
810,1519279310.851594
811,1519279311.017545
812,1519279311.183489
813,1519279311.349483
814,1519279311.517645
815,1519279311.684258
816,1519279311.849631
817,1519279312.015544
818,1519279312.181663
819,1519279312.349503
820,1519279312.515595
821,1519279312.681555
822,1519279312.847622
823,1519279313.015503
824,1519279313.181638
825,1519279313.347491
826,1519279313.513618
827,1519279313.679483
828,1519279313.847728
829,1519279314.013665
830,1519279314.179696
831,1519279314.34556
832,1519279314.513642
833,1519279314.67953
834,1519279314.845656
835,1519279315.011514
836,1519279315.179627
837,1519279315.345537
838,1519279315.511793
839,1519279315.677467
840,1519279315.843645
841,1519279316.012191
842,1519279316.177624
843,1519279316.343652
844,1519279316.509675
845,1519279316.677638
846,1519279316.843644
847,1519279317.009453
848,1519279317.175591
849,1519279317.343608
850,1519279317.509792
851,1519279317.675711
852,1519279317.841671
853,1519279318.00754
854,1519279318.175994
855,1519279318.341662
856,1519279318.507478
857,1519279318.673495
858,1519279318.841593
859,1519279319.007483
860,1519279319.173797
861,1519279319.339449
862,1519279319.507626
863,1519279319.673529
864,1519279319.839896
865,1519279320.005379
866,1519279320.172498
867,1519279320.339662
868,1519279320.505715
869,1519279320.671491
870,1519279320.837579
871,1519279321.005488
872,1519279321.171829
873,1519279321.337633
874,1519279321.504026
875,1519279321.67168
876,1519279321.837529
877,1519279322.003831
878,1519279322.16948
879,1519279322.335623
880,1519279322.5037
881,1519279322.669516
882,1519279322.835613
883,1519279323.001669
884,1519279323.169873
885,1519279323.335532
886,1519279323.501567
887,1519279323.668001
888,1519279323.835509
889,1519279324.001866
890,1519279324.167697
891,1519279324.333607
892,1519279324.500194
893,1519279324.667756
894,1519279324.833507
895,1519279324.999728
896,1519279325.16563
897,1519279325.333635
898,1519279325.499746
899,1519279325.665625
900,1519279325.831829
901,1519279325.999717
902,1519279326.165594
903,1519279326.332016
904,1519279326.497532
905,1519279326.663676
906,1519279326.831829
907,1519279326.997753
908,1519279327.163655
909,1519279327.329729
910,1519279327.497434
911,1519279327.663482
912,1519279327.829593
913,1519279327.995483
914,1519279328.161381
915,1519279328.329888
916,1519279328.495721
917,1519279328.662478
918,1519279328.827978
919,1519279328.995583
920,1519279329.161369
921,1519279329.327646
922,1519279329.493501
923,1519279329.661709
924,1519279329.827507
925,1519279329.993669
926,1519279330.15972
927,1519279330.325605
928,1519279330.493532
929,1519279330.659808
930,1519279330.825484
931,1519279330.991772
932,1519279331.159569
933,1519279331.325596
934,1519279331.491504
935,1519279331.657748
936,1519279331.825566
937,1519279331.991629
938,1519279332.157741
939,1519279332.32413
940,1519279332.489484
941,1519279332.657757
942,1519279332.823598
943,1519279332.989595
944,1519279333.155475
945,1519279333.3255
946,1519279333.490259
947,1519279333.6559
948,1519279333.821488
949,1519279333.98954
950,1519279334.155542
951,1519279334.32153
952,1519279334.488015
953,1519279334.653594
954,1519279334.821519
955,1519279334.987754
956,1519279335.153669
957,1519279335.319506
958,1519279335.487931
959,1519279335.65362
960,1519279335.819606
961,1519279335.985662
962,1519279336.15344
963,1519279336.319621
964,1519279336.485705
965,1519279336.6521
966,1519279336.8177
967,1519279336.985806
968,1519279337.151587
969,1519279337.317613
970,1519279337.483655
971,1519279337.654188
972,1519279337.817558
973,1519279337.983692
974,1519279338.149638
975,1519279338.318004
976,1519279338.483645
977,1519279338.650054
978,1519279338.815447
979,1519279338.981608
980,1519279339.149696
981,1519279339.315631
982,1519279339.481547
983,1519279339.647733
984,1519279339.815575
985,1519279339.981597
986,1519279340.147484
987,1519279340.313719
988,1519279340.479782
989,1519279340.647934
990,1519279340.813806
991,1519279340.980112
992,1519279341.145671
993,1519279341.314248
994,1519279341.480002
995,1519279341.645838
996,1519279341.812237
997,1519279341.98007
998,1519279342.146135
999,1519279342.311995
1000,1519279342.478156
1001,1519279342.64386
1002,1519279342.811644
1003,1519279342.977703
1004,1519279343.143647
1005,1519279343.309578
1006,1519279343.477488
1007,1519279343.643687
1008,1519279343.809908
1009,1519279343.975605
1010,1519279344.14367
1011,1519279344.309942
1012,1519279344.475615
1013,1519279344.641735
1014,1519279344.808019
1015,1519279344.975532
1016,1519279345.141696
1017,1519279345.307679
1018,1519279345.474858
1019,1519279345.641576
1020,1519279345.80742
1021,1519279345.974486
1022,1519279346.139707
1023,1519279346.307754
1024,1519279346.476936
1025,1519279346.639643
1026,1519279346.805532
1027,1519279346.971768
1028,1519279347.139585
1029,1519279347.305644
1030,1519279347.471592
1031,1519279347.637709
1032,1519279347.805786
1033,1519279347.971769
1034,1519279348.137904
1035,1519279348.303716
1036,1519279348.471671
1037,1519279348.638176
1038,1519279348.803488
1039,1519279348.969694
1040,1519279349.135588
1041,1519279349.303684
1042,1519279349.469443
1043,1519279349.635688
1044,1519279349.80145
1045,1519279349.969578
1046,1519279350.135604
1047,1519279350.301689
1048,1519279350.467564
1049,1519279350.638005
1050,1519279350.802044
1051,1519279350.967596
1052,1519279351.133712
1053,1519279351.299759
1054,1519279351.467522
1055,1519279351.633649
1056,1519279351.799909
1057,1519279351.965598
1058,1519279352.133631
1059,1519279352.300035
1060,1519279352.465951
1061,1519279352.631601
1062,1519279352.799687
1063,1519279352.966085
1064,1519279353.131529
1065,1519279353.297699
1066,1519279353.463546
1067,1519279353.631654
1068,1519279353.797483
1069,1519279353.96406
1070,1519279354.129623
1071,1519279354.297691
1072,1519279354.463662
1073,1519279354.630268
1074,1519279354.795581
1075,1519279354.961679
1076,1519279355.131384
1077,1519279355.295757
1078,1519279355.461459
1079,1519279355.627707
1080,1519279355.795523
1081,1519279355.961675
1082,1519279356.1277
1083,1519279356.293575
1084,1519279356.461649
1085,1519279356.62768
1086,1519279356.79363
1087,1519279356.959597
1088,1519279357.12562
1089,1519279357.293686
1090,1519279357.459678
1091,1519279357.625753
1092,1519279357.791694
1093,1519279357.959723
1094,1519279358.125544
1095,1519279358.291622
1096,1519279358.458025
1097,1519279358.62565
1098,1519279358.791658
1099,1519279358.958036
1100,1519279359.123527
1101,1519279359.289825
1102,1519279359.459298
1103,1519279359.623783
1104,1519279359.789651
1105,1519279359.955617
1106,1519279360.123495
1107,1519279360.289644
1108,1519279360.455787
1109,1519279360.621971
1110,1519279360.789614
1111,1519279360.955705
1112,1519279361.121816
1113,1519279361.287624
1114,1519279361.453462
1115,1519279361.622019
1116,1519279361.787526
1117,1519279361.953598
1118,1519279362.119606
1119,1519279362.287676
1120,1519279362.45388
1121,1519279362.619737
1122,1519279362.78618
1123,1519279362.953602
1124,1519279363.119473
1125,1519279363.28574
1126,1519279363.451685
1127,1519279363.617563
1128,1519279363.787222
1129,1519279363.951699
1130,1519279364.117549
1131,1519279364.283673
1132,1519279364.451557
1133,1519279364.617624
1134,1519279364.783814
1135,1519279364.950184
1136,1519279365.117494
1137,1519279365.283788
1138,1519279365.449739
1139,1519279365.61588
1140,1519279365.781561
1141,1519279365.949823
1142,1519279366.115597
1143,1519279366.281896
1144,1519279366.44771
1145,1519279366.615752
1146,1519279366.781582
1147,1519279366.947937
1148,1519279367.114025
1149,1519279367.279977
1150,1519279367.447521
1151,1519279367.621041
1152,1519279367.779511
1153,1519279367.945648
1154,1519279368.113702
1155,1519279368.279553
1156,1519279368.445603
1157,1519279368.611888
1158,1519279368.780558
1159,1519279368.945815
1160,1519279369.111969
1161,1519279369.277635
1162,1519279369.444095
1163,1519279369.611647
1164,1519279369.777694
1165,1519279369.943737
1166,1519279370.109521
1167,1519279370.277768
1168,1519279370.443612
1169,1519279370.609577
1170,1519279370.775592
1171,1519279370.94369
1172,1519279371.109659
1173,1519279371.275941
1174,1519279371.441823
1175,1519279371.607584
1176,1519279371.775674
1177,1519279371.942951
1178,1519279372.107638
1179,1519279372.274511
1180,1519279372.441749
1181,1519279372.608192
1182,1519279372.773377
1183,1519279372.939685
1184,1519279373.108497
1185,1519279373.273774
1186,1519279373.439391
1187,1519279373.606148
1188,1519279373.771413
1189,1519279373.939672
1190,1519279374.106538
1191,1519279374.271638
1192,1519279374.437605
1193,1519279374.6056
1194,1519279374.771559
1195,1519279374.937619
1196,1519279375.103554
1197,1519279375.271628
1198,1519279375.437558
1199,1519279375.603715
1200,1519279375.769947
1201,1519279375.935578
1202,1519279376.103443
1203,1519279376.269746
1204,1519279376.435417
1205,1519279376.601763
1206,1519279376.769578
1207,1519279376.935711
1208,1519279377.101522
1209,1519279377.267729
1210,1519279377.435587
1211,1519279377.601789
1212,1519279377.767623
1213,1519279377.934859
1214,1519279378.099948
1215,1519279378.267786
1216,1519279378.433676
1217,1519279378.599528
1218,1519279378.765738
1219,1519279378.933735
1220,1519279379.099496
1221,1519279379.265747
1222,1519279379.431534
1223,1519279379.599594
1224,1519279379.76566
1225,1519279379.931888
1226,1519279380.097743
1227,1519279380.263768
1228,1519279380.431648
1229,1519279380.597648
1230,1519279380.76346
1231,1519279380.930441
1232,1519279381.097644
1233,1519279381.263563
1234,1519279381.42961
1235,1519279381.595688
1236,1519279381.761571
1237,1519279381.929642
1238,1519279382.095651
1239,1519279382.26215
1240,1519279382.427558
1241,1519279382.595678
1242,1519279382.761459
1243,1519279382.927651
1244,1519279383.095359
1245,1519279383.26161
1246,1519279383.427666
1247,1519279383.593605
1248,1519279383.759461
1249,1519279383.926469
1250,1519279384.093571
1251,1519279384.25991
1252,1519279384.4259
1253,1519279384.591622
1254,1519279384.759439
1255,1519279384.925882
1256,1519279385.091522
1257,1519279385.257513
1258,1519279385.42646
1259,1519279385.591618
1260,1519279385.757509
1261,1519279385.923745
1262,1519279386.089831
1263,1519279386.257651
1264,1519279386.42362
1265,1519279386.589666
1266,1519279386.755414
1267,1519279386.923662
1268,1519279387.089671
1269,1519279387.255498
1270,1519279387.421595
1271,1519279387.589569
1272,1519279387.755589
1273,1519279387.921365
1274,1519279388.08769
1275,1519279388.253435
1276,1519279388.42162
1277,1519279388.587749
1278,1519279388.753679
1279,1519279388.919492
1280,1519279389.087489
1281,1519279389.253626
1282,1519279389.419567
1283,1519279389.585544
1284,1519279389.753779
1285,1519279389.919878
1286,1519279390.085638
1287,1519279390.251562
1288,1519279390.418103
1289,1519279390.585464
1290,1519279390.751643
1291,1519279390.91774
1292,1519279391.083599
1293,1519279391.251514
1294,1519279391.417623
1295,1519279391.583596
1296,1519279391.749603
1297,1519279391.917472
1298,1519279392.083861
1299,1519279392.249532
1300,1519279392.415718
1301,1519279392.581582
1302,1519279392.749598
1303,1519279392.915617
1304,1519279393.081697
1305,1519279393.247635
1306,1519279393.415609
1307,1519279393.581617
1308,1519279393.747665
1309,1519279393.913516
1310,1519279394.082551
1311,1519279394.247793
1312,1519279394.413684
1313,1519279394.580004
1314,1519279394.745665
1315,1519279394.913563
1316,1519279395.079714
1317,1519279395.245707
1318,1519279395.411755
1319,1519279395.57974
1320,1519279395.745691
1321,1519279395.91162
1322,1519279396.077872
1323,1519279396.24361
1324,1519279396.41237
1325,1519279396.577581
1326,1519279396.7437
1327,1519279396.909632
1328,1519279397.078038
1329,1519279397.243556
1330,1519279397.409757
1331,1519279397.575655
1332,1519279397.743668
1333,1519279397.909681
1334,1519279398.075806
1335,1519279398.243333
1336,1519279398.40791
1337,1519279398.576041
1338,1519279398.741763
1339,1519279398.908028
1340,1519279399.074506
1341,1519279399.241914
1342,1519279399.408041
1343,1519279399.574123
1344,1519279399.740077
1345,1519279399.921951
1346,1519279400.074143
1347,1519279400.239911
1348,1519279400.405859
1349,1519279400.571732
1350,1519279400.739982
1351,1519279400.906045
1352,1519279401.073678
1353,1519279401.238005
1354,1519279401.405732
1355,1519279401.571975
1356,1519279401.737808
1357,1519279401.905001
1358,1519279402.071842
1359,1519279402.239689
1360,1519279402.4036
