x,y,time_stamp
0.0,0.0,1520418366.045526
0.0,0.0,1520418366.204418
0.0,0.0,1520418366.365393
0.0,0.0,1520418366.525351
0.0,0.0,1520418366.686173
0.0,0.0,1520418366.846181
0.0,0.0,1520418367.005974
0.0,0.0,1520418367.167038
0.0,0.0,1520418367.326927
0.0,0.0,1520418367.487764
0.0,0.0,1520418367.647825
0.0,0.0,1520418367.808944
0.0,0.0,1520418367.968441
0.0,0.0,1520418368.128415
0.0,0.0,1520418368.289348
0.0,0.0,1520418368.450499
0.0,0.0,1520418368.610189
0.0,0.0,1520418368.77
0.0,0.0,1520418368.929969
0.0,0.0,1520418369.091215
0.0,0.0,1520418369.251805
0.0,0.0,1520418369.411683
0.0,0.0,1520418369.571652
0.0,0.0,1520418369.732695
0.0,0.0,1520418369.892533
0.0,0.0,1520418370.073542
0.0,0.0,1520418370.233392
0.0,0.0,1520418370.393356
0.0,0.0,1520418370.553336
0.0,0.0,1520418370.713542
0.0,0.0,1520418370.873365
0.0,0.0,1520418371.03342
0.0,0.0,1520418371.193355
0.0,0.0,1520418371.353414
0.0,0.0,1520418371.513391
0.0,0.0,1520418371.674651
0.0,0.0,1520418371.833421
0.0,0.0,1520418371.993572
0.0,0.0,1520418372.153426
0.0,0.0,1520418372.313416
0.0,0.0,1520418372.473801
0.0,0.0,1520418372.633433
0.0,0.0,1520418372.793343
0.0,0.0,1520418372.953401
0.0,0.0,1520418373.113428
0.0,0.0,1520418373.273404
0.0,0.0,1520418373.433451
0.0,0.0,1520418373.593583
0.0,0.0,1520418373.753398
0.0,0.0,1520418373.913366
0.0,0.0,1520418374.07339
0.0,0.0,1520418374.233357
0.0,0.0,1520418374.393355
0.0,0.0,1520418374.553383
0.0,0.0,1520418374.713363
0.0,0.0,1520418374.873434
0.0,0.0,1520418375.033425
0.0,0.0,1520418375.193345
0.0,0.0,1520418375.353531
0.0,0.0,1520418375.513409
0.0,0.0,1520418375.673407
0.0,0.0,1520418375.833427
0.0,0.0,1520418375.993402
0.0,0.0,1520418376.157609
0.0,0.0,1520418376.317354
0.0,0.0,1520418376.48136
0.0,0.0,1520418376.64142
0.0,0.0,1520418376.801397
0.0,0.0,1520418376.961368
0.0,0.0,1520418377.121517
0.0,0.0,1520418377.281373
0.0,0.0,1520418377.441463
0.0,0.0,1520418377.601578
0.0,0.0,1520418377.761385
0.0,0.0,1520418377.921474
0.0,0.0,1520418378.081398
0.0,0.0,1520418378.241411
